title,description,location,features,date,price
Book 1 bhk at Regent hill hiranandani powai,""" *Regent Hill* "" at hiranandani powai  •	Semi Furnished 1 BHK. •	Modular Kitchen along with the white goods (Refrigerator, Washing Machine, Hob & Chimney, Air conditioners in living room and bedroom).  •	Club House and Swimming pool. •	23 floors residential complex with 5 wings. •	Landscape garden.   Configuration & Pricing:  1 BHK - 379 RERA Carpet  CLP – 1.51 cr all in.  Agarwal Property Consultants","India, Maharashtra, Mumbai, Powai",1 Bds - 1 Ba - 550 ft2,2021-04-17T19:02:57+0000,"₹ 1,51,00,000"
4BHK Near Kenichira,"Newly built contemporary style 4BHK villa in Half acre plot.     Distance in KM:   Kenichira - 3. Banks, Government & Private hospitals, CBSE School, Supermarket, Resorts & Restaurants.   Sultan Bathery - 17 (One of the 3 main towns of Wayanad)   Kalpetta - 20 (District head quarters)   Kozhikode (Railway station) - 93   Kannur international airport - 92   Calicut international airport - 103   Mysore - 126   Bangalore - 276    The villa is newly built.     2880 SqFt plinth area.   High specification construction materials used and with best finishes.    Clear titles and bank loan available as per the buyer’s eligibility.    Price & purchase options:  I am Johny, got into an MOU with the landlord, who is my neighbor and good friend.   Price we quote is 85 Lakhs including half acre of land with 47 Meter  public tar road frontage.   Option is open to buy more adjoining land to the extent of further 30cents @ 60,000/- per cent.   Alternatively, option is open to buy the villa & 30cents land for 75 Lakhs.   All these prices are slightly negotiable depending on the time to conclude registration.   You are welcome to have a site visit and we would be happy to share all relevant data if you have any further queries.  Johny. Wayanad Blooms","India, Kerala, Wayanad, Sulthan Bathery",4 Bds - 4 Ba - 2880 ft2,2021-06-08T03:07:12+0000,"₹ 85,00,000"
"Silver Spring Villas-Valayanchirangara Project, 1930 sqft, 5.25 cent.","Silver Spring Villas- Valayanchirangara Project.  Near by Valayanchirangara junction.  It's Bank approved project.  Villa_1930 sqft, 4 bedroom, 4 bathroom ( 4 bedroom all attached), semifurnished, 2 kitchen ( modular, work area), 5.25 cent.  4 mtr internal tar road on project.  Open well water available.  Walking distance to bus stop ( perumbavoor muvatupuzha road), 1.5 km distance from mc road.","India, Kerala, Muvattupuzha, Muvattupuzha",4 Bds - 4 Ba - 1930 ft2,2021-06-08T03:06:10+0000,"₹ 52,00,000"
3 bhk floors at kharar 1890000,3 bhk floors at kharar 1890000/- ready 90% loan from govt banks,"India, Punjab, Kharar, Preet Nagar",3 Bds - 3 Ba - 1000 ft2,2021-06-08T03:05:25+0000,"₹ 18,90,000"
3 Bhk Apartment at Prime Location Near Sec 20 Panchkula,"3 Bhk Apartment at Prime Location Near Sec 20 Panchkula  Rs.53.90 Lac     Location- Peermucchla Adjoining Sector 20 Panchkula.  * Specially designed lift for exclusive 8 apartments * Double Entry Exit in the Society  * Project located on corner’s plot  * 2 Flats on each Floor * Both Side Open Apartments * Every Apartment Park facing  * 40,000 plus green area with lifestyle features * Club House, Gym, Indoor Games, Kids Play Area, * 24 Hrs. Power Back up, Water Supply & Three Tier Security System.","India, Punjab, Zirakpur, Dhakauli",3 Bds - 3 Ba - 1450 ft2,2021-06-08T03:04:07+0000,"₹ 54,90,000"
Newly 3 bhk Apartments Ready to Move,Newly 3 Bhk Apartment for Sale in DPS Road Dhakoli  Stilt Parking with Store Gated Society,"India, Punjab, Zirakpur, Dhakauli",3 Bds - 2 Ba - 900 ft2,2021-06-08T03:03:45+0000,"₹ 28,90,000"
Bungalow for urgent sale,Road thi 4 foot uchu che  4 baje thi jagya chode li che,"India, Gujarat, Ahmedabad, Bapu Nagar",2 Bds - 2 Ba - 1580 ft2,2021-06-08T03:01:30+0000,"₹ 40,00,000"
DUPLEX  BUNGLOW  PROJECT BAMUNARA  MUCHIPARA NEAR,"SIDHI VINAYAK  RESIDANCE  DUPLEX  BUNGLOW  PROJECT 16 FEET ROAD ELECTRIC  CONECTIUON WATER CONECTION                                 SCHOOL   DELHI PUBLIC SCHOOL 3.5 K.M DURGAPUR PUBLIC 3 K.M. AMMA SCHOOL 3K.M STJAVIERS  3.7 K.M.  BAMUNARA MAIN MARKET  5 00 MITERS  MUCHIPARA  MARKET  2K.M. BIDDHENNAGAR MARKET 4K.M.                           BANK  SBI  ATM  200 MITER ALL BANK  1 K.M . 	  MUCHIPARA  1.5 K.M BAMUNARA  ROAD   MISSION HOSPITAL  3K.M. BIDDHEN NAGAR HOSPITAL 4 K.M GOURI DEVI HOSPITAL 5 K.M. NATION HOSPITAL 1 K.M SANAKA HOSPITAL  5 K.M. MUCHIPARA BUS STAND  2 K.M   RAILWAY STATION  5 K.M DURGAPUR RAILWAY STATION CITY CENTRE BUS STAND  7 K.M. ONLY  DUPLEX BUNGLOW  HOUSE  Bank loan approved from HDFC home loans. State bank of indian, united bank of india. Bank of baroda, indiabulls and idbi bank.    FULLY COMPLETE  PROJECT","India, West Bengal, Durgapur, Muchipara",2 Bds - 2 Ba - 750 ft2,2021-06-08T03:01:26+0000,"₹ 26,00,000"
Kumhari Housing Board colony me Sr MIG makan bechna hai,"Kumhari housing board colony me senior MIG no 478, 2000 sqft , plot area, sale karna hai","India, Chhattisgarh, Durg, MIG Colony",3 Bds - 2 Ba - 1100 ft2,2021-06-08T03:01:14+0000,"₹ 60,00,000"
Dandesara  Shivnath me 35000 sqft land   wooden cottage bechna hai,"परिवार के साथ Weekend मनाने के लिए,  रायपुर से 51 किमी, भिलाई से 20 किमी, दुर्ग से 16 किमी दूर, नगपुरा के पास dandesara में 35000 sqft जमीन के sath, wooden cottage फार्म house बेचना है, 25 लाख चुकता में बेचना है,,  शिवनाथ नदी से 500 मीटर की दूरी पर है, बहुत ही सुंदर जंगल से लगा हुआ जमीन,   बोर के साथ  Boundary, गेट और fencing के साथ  सामने रोड है,  कार से जा सकते है,   पलंग,  डायनिंग टेबल,  बाथरूम फिटिंग के साथ में","India, Chhattisgarh, Durg, Hari Nagar",1 Bds - 1 Ba - 550 ft2,2021-06-08T03:01:14+0000,"₹ 25,00,000"
